"Image","Cells","Conversion","Organoid","Cell","Sheath.length","Sheath.type","Sheath.number","Bridge.length","Cell.type","CellID","OrgID","Sheaths.percell","Tot.length"
"Image18","SHEF4","Conv_3","Org_1","Cell_1",24.149,"Regular",18,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",238.92,"Regular",19,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",22.022,"Regular",20,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image19","SHEF4","Conv_3","Org_1","Cell_2",101.774,"Anchored",1,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",116.285,"Bridged",2,5.535,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",93.838,"Regular",3,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",47.855,"Regular",4,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",57.891,"Regular",5,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",98.801,"Regular",6,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",145.218,"Anchored",7,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",30.881,"Bridged",8,38.194,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",84.95,"Regular",9,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",128.633,"Regular",10,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",65.747,"Regular",11,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",15.768,"Regular",12,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",31.793,"Regular",13,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",288.358,"Anchored",14,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",134.247,"Bridged",15,6.231,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",112.115,"Regular",16,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",113.587,"Regular",17,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image19","SHEF4","Conv_3","Org_1","Cell_2",112.413,"Regular",18,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_2","SHEF4.Conv_3.Org_1",18,1780.154
"Image4","Cso2","Conv_4","Org_1","Cell_1",125.471,"Anchored",1,NA,"OLs with bridges","Cso2.Conv_4.Org_1.Cell_1","Cso2.Conv_4.Org_1",6,568.82
"Image4","Cso2","Conv_4","Org_1","Cell_1",21.933,"Bridged",2,3.449,"OLs with bridges","Cso2.Conv_4.Org_1.Cell_1","Cso2.Conv_4.Org_1",6,568.82
