Image,Cells,Conversion,Organoid,Cell,Length,sheath.type,Number,Bridge.length,Chain.length,Cell.type,CellID,OrgID,FREQ.SHEATH,Tot.length
Image19,SHEF4,Conv_3,Org_1,Cell_2,93.838,Non-Bridged sheaths sheaths,3,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,47.855,Non-Bridged sheaths sheaths,4,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,57.891,Non-Bridged sheaths sheaths,5,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,98.801,Non-Bridged sheaths sheaths,6,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,145.218,Anchoring sheaths,7,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,30.881,Bridged sheaths,8,38.194,176.099,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,38.194,Bridge,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,176.099,Chain,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,84.95,Non-Bridged sheaths sheaths,9,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,128.633,Non-Bridged sheaths sheaths,10,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,65.747,Non-Bridged sheaths sheaths,11,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,15.768,Non-Bridged sheaths sheaths,12,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,31.793,Non-Bridged sheaths sheaths,13,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,288.358,Anchoring sheaths,14,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,134.247,Bridged sheaths,15,6.231,422.605,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,6.231,Bridge,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,422.605,Chain,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,112.115,Non-Bridged sheaths sheaths,16,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,113.587,Non-Bridged sheaths sheaths,17,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,112.413,Non-Bridged sheaths sheaths,18,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image4,Cso2,Conv_4,Org_1,Cell_1,125.471,Anchoring sheaths,1,NA,,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_1,21.933,Bridged sheaths,2,3.449,147.404,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_1,3.449,Bridge,,,,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_1,147.404,Chain,,,,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_1,134.267,Non-Bridged sheaths sheaths,3,NA,,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_1,83.151,Non-Bridged sheaths sheaths,4,NA,,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_1,80.553,Non-Bridged sheaths sheaths,5,NA,,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_1,123.445,Non-Bridged sheaths sheaths,6,NA,,OLs with bridges,Cso2.Conv_4.Org_1.Cell_1,Cso2.Conv_4.Org_1,6,568.82
Image4,Cso2,Conv_4,Org_1,Cell_2,174.568,Non-Bridged sheaths sheaths,1,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_2,Cso2.Conv_4.Org_1,7,978.136
Image4,Cso2,Conv_4,Org_1,Cell_2,137.557,Non-Bridged sheaths sheaths,2,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_2,Cso2.Conv_4.Org_1,7,978.136
Image4,Cso2,Conv_4,Org_1,Cell_2,92.361,Non-Bridged sheaths sheaths,3,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_2,Cso2.Conv_4.Org_1,7,978.136
Image4,Cso2,Conv_4,Org_1,Cell_2,105.821,Non-Bridged sheaths sheaths,4,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_2,Cso2.Conv_4.Org_1,7,978.136
Image4,Cso2,Conv_4,Org_1,Cell_2,160.526,Non-Bridged sheaths sheaths,5,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_2,Cso2.Conv_4.Org_1,7,978.136
Image4,Cso2,Conv_4,Org_1,Cell_2,170.167,Non-Bridged sheaths sheaths,6,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_2,Cso2.Conv_4.Org_1,7,978.136
Image4,Cso2,Conv_4,Org_1,Cell_2,137.136,Non-Bridged sheaths sheaths,7,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_2,Cso2.Conv_4.Org_1,7,978.136
Image4,Cso2,Conv_4,Org_1,Cell_3,127.104,Non-Bridged sheaths sheaths,1,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_3,Cso2.Conv_4.Org_1,7,874.929
Image4,Cso2,Conv_4,Org_1,Cell_3,116.196,Non-Bridged sheaths sheaths,2,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_3,Cso2.Conv_4.Org_1,7,874.929
Image4,Cso2,Conv_4,Org_1,Cell_3,94.285,Non-Bridged sheaths sheaths,3,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_3,Cso2.Conv_4.Org_1,7,874.929
Image4,Cso2,Conv_4,Org_1,Cell_3,104.06,Non-Bridged sheaths sheaths,4,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_3,Cso2.Conv_4.Org_1,7,874.929
Image4,Cso2,Conv_4,Org_1,Cell_3,126.556,Non-Bridged sheaths sheaths,5,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_3,Cso2.Conv_4.Org_1,7,874.929
Image4,Cso2,Conv_4,Org_1,Cell_3,178.438,Non-Bridged sheaths sheaths,6,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_3,Cso2.Conv_4.Org_1,7,874.929
Image4,Cso2,Conv_4,Org_1,Cell_3,128.29,Non-Bridged sheaths sheaths,7,NA,,OLs without bridges,Cso2.Conv_4.Org_1.Cell_3,Cso2.Conv_4.Org_1,7,874.929
Image3,Cso2,Conv_4,Org_2,Cell_1,109.158,Non-Bridged sheaths sheaths,1,NA,,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
