Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(99985, 51188, 295)","(100191, 51907, 328)",,,,,49739954de0d6a87862da32d640fdf636f328dbf,Line,
"(100191, 51907, 328)","(100150, 52470, 355)",,,,,49739954de0d6a87862da32d640fdf636f328dbf,Line,
"(100150, 52470, 355)","(100325, 52963, 384)",,,,,49739954de0d6a87862da32d640fdf636f328dbf,Line,
"(100325, 52963, 384)","(100505, 53713, 390)",,,,,49739954de0d6a87862da32d640fdf636f328dbf,Line,
"(100505, 53713, 390)","(100610, 54158, 440)",,,,,49739954de0d6a87862da32d640fdf636f328dbf,Line,
"(100610, 54158, 440)","(100579, 54818, 460)",,,,,49739954de0d6a87862da32d640fdf636f328dbf,Line,
"(98385, 52096, 339)",,,,14 na,,,Line Strip,1419cfaa06706b3816dae2eb964860dba2e514ff
"(98385, 52096, 339)","(98512, 52748, 365)",,,,,1419cfaa06706b3816dae2eb964860dba2e514ff,Line,
"(98512, 52748, 365)","(98396, 53334, 392)",,,,,1419cfaa06706b3816dae2eb964860dba2e514ff,Line,
"(98396, 53334, 392)","(98437, 53949, 424)",,,,,1419cfaa06706b3816dae2eb964860dba2e514ff,Line,
"(98437, 53949, 424)","(98550, 54424, 453)",,,,,1419cfaa06706b3816dae2eb964860dba2e514ff,Line,
"(98598, 54623, 443)",,,,15 na,,,Line Strip,cb1d68e91d4cac849659ff589166e3522318c389
"(98598, 54623, 443)","(98588, 55237, 488)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(98588, 55237, 488)","(99030, 55881, 502)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(99030, 55881, 502)","(98999, 56598, 531)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(98999, 56598, 531)","(98956, 57121, 571)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(98956, 57121, 571)","(98939, 57962, 617)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(98939, 57962, 617)","(99301, 58569, 646)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(99301, 58569, 646)","(99158, 59409, 662)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(99158, 59409, 662)","(99159, 59414, 663)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(99159, 59414, 663)","(99128, 59546, 678)",,,,,cb1d68e91d4cac849659ff589166e3522318c389,Line,
"(98470, 49550, 214)",,,,16 AIT,,,Line Strip,32cf039ad944bb38f33b63bc96e109f8897ba383
"(98470, 49550, 214)","(98284, 49969, 237)",,,,,32cf039ad944bb38f33b63bc96e109f8897ba383,Line,
"(98284, 49969, 237)","(98187, 50482, 251)",,,,,32cf039ad944bb38f33b63bc96e109f8897ba383,Line,
"(98187, 50482, 251)","(98299, 50977, 285)",,,,,32cf039ad944bb38f33b63bc96e109f8897ba383,Line,
"(98299, 50977, 285)","(98452, 51524, 298)",,,,,32cf039ad944bb38f33b63bc96e109f8897ba383,Line,
"(98452, 51524, 298)","(98465, 51620, 324)",,,,,32cf039ad944bb38f33b63bc96e109f8897ba383,Line,
"(106620, 51944, 714)",,,,17 AIT,,,Line Strip,81376ba07e90ad9ca0f376f14319010d2035b139
"(106620, 51944, 714)","(107215, 51843, 712)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(107215, 51843, 712)","(108476, 51910, 722)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
